"date","TagID","travel_adj","period","sum_p","mean_r","mean_t","mean_w"
2024-07-10,"Tag_5",1.82995171537101,"before",0,169.966666666667,14.58,3.748
2024-07-10,"Tag_13",78.8745082119803,"before",0,169.966666666667,14.58,3.748
2024-07-10,"Tag_11",30.8478098368225,"before",0,169.966666666667,14.58,3.748
2024-07-10,"Tag_14",71.5458659901161,"before",0,169.966666666667,14.58,3.748
2024-07-10,"Tag_21",9.16113902578018,"before",0,169.966666666667,14.58,3.748
2024-07-10,"Tag_3",41.0619523046369,"before",0,169.966666666667,14.58,3.748
2024-07-10,"Tag_19",17.3853195363404,"before",0,169.966666666667,14.58,3.748
2024-07-10,"Tag_8",53.7989758092014,"before",0,169.966666666667,14.58,3.748
2024-07-10,"Tag_20",42.510142486456,"before",0,169.966666666667,14.58,3.748
2024-07-11,"Tag_19",91.6433181909291,"after",0,183.933333333333,15.0133333333333,1.59133333333333
2024-07-11,"Tag_13",131.776424799295,"after",0,183.933333333333,15.0133333333333,1.59133333333333
2024-07-11,"Tag_5",47.1513145330514,"after",0,183.933333333333,15.0133333333333,1.59133333333333
2024-07-11,"Tag_20",73.4970907501795,"after",0,183.933333333333,15.0133333333333,1.59133333333333
2024-07-11,"Tag_3",128.088924913697,"after",0,183.933333333333,15.0133333333333,1.59133333333333
2024-07-11,"Tag_8",138.03007829299,"after",0,183.933333333333,15.0133333333333,1.59133333333333
2024-07-11,"Tag_14",77.9791577930833,"after",0,183.933333333333,15.0133333333333,1.59133333333333
2024-07-11,"Tag_3",107.504183423926,"before",0.207,170.9,14.5033333333333,1.54233333333333
2024-07-11,"Tag_5",105.785529630293,"before",0.207,170.9,14.5033333333333,1.54233333333333
2024-07-11,"Tag_14",141.030204027215,"before",0.207,170.9,14.5033333333333,1.54233333333333
2024-07-11,"Tag_13",125.285126164723,"before",0.207,170.9,14.5033333333333,1.54233333333333
2024-07-11,"Tag_20",162.317006815327,"before",0.207,170.9,14.5033333333333,1.54233333333333
2024-07-11,"Tag_19",84.0800054781667,"before",0.207,170.9,14.5033333333333,1.54233333333333
2024-07-11,"Tag_8",143.566380391934,"before",0.207,170.9,14.5033333333333,1.54233333333333
2024-07-12,"Tag_13",122.88392524438,"after",0.207,124.866666666667,14.6266666666667,1.115
2024-07-12,"Tag_3",28.6017396569374,"after",0.207,124.866666666667,14.6266666666667,1.115
2024-07-12,"Tag_14",187.730955358407,"after",0.207,124.866666666667,14.6266666666667,1.115
2024-07-12,"Tag_20",29.7041536778773,"after",0.207,124.866666666667,14.6266666666667,1.115
2024-07-12,"Tag_19",67.1694100553415,"after",0.207,124.866666666667,14.6266666666667,1.115
2024-07-12,"Tag_5",49.3660946411547,"after",0.207,124.866666666667,14.6266666666667,1.115
2024-07-12,"Tag_8",184.103893305827,"after",0.207,124.866666666667,14.6266666666667,1.115
2024-07-12,"Tag_3",29.9006115633133,"before",0,180.066666666667,14.35,0.780666666666667
2024-07-12,"Tag_20",23.9490703622524,"before",0,180.066666666667,14.35,0.780666666666667
2024-07-12,"Tag_19",142.868918115475,"before",0,180.066666666667,14.35,0.780666666666667
2024-07-12,"Tag_5",36.4435415322755,"before",0,180.066666666667,14.35,0.780666666666667
2024-07-12,"Tag_8",0,"before",0,180.066666666667,14.35,0.780666666666667
2024-07-12,"Tag_13",46.7104947697425,"before",0,180.066666666667,14.35,0.780666666666667
2024-07-12,"Tag_14",85.8609658041321,"before",0,180.066666666667,14.35,0.780666666666667
2024-07-13,"Tag_19",27.1258078684838,"after",0,539.333333333333,17.21,1.617
2024-07-13,"Tag_13",161.483425660602,"after",0,539.333333333333,17.21,1.617
2024-07-13,"Tag_3",73.5735462476384,"after",0,539.333333333333,17.21,1.617
2024-07-13,"Tag_20",49.6225384676148,"after",0,539.333333333333,17.21,1.617
2024-07-13,"Tag_8",57.4710852398087,"after",0,539.333333333333,17.21,1.617
2024-07-13,"Tag_14",112.459938754606,"after",0,539.333333333333,17.21,1.617
